image_name,translation_error,rotation_error_deg
frame_00001.png,0.02904712,0.84193742
frame_00002.png,0.01493201,0.79808724
frame_00004.png,0.01523947,0.80174649
frame_00005.png,0.01558290,0.76807329
frame_00007.png,0.00609712,0.73867272
frame_00008.png,0.01408141,0.79741716
frame_00010.png,0.01229615,0.74950034
frame_00011.png,0.01402526,0.72688551
frame_00013.png,0.02134078,0.67938515
frame_00014.png,0.02435650,0.73778895
frame_00016.png,0.01681275,0.70321530
frame_00017.png,0.02192642,0.69927841
frame_00019.png,0.02284266,0.69630339
frame_00020.png,0.01524075,0.69246225
frame_00022.png,0.01429323,0.70936280
frame_00023.png,0.01808922,0.72489635
frame_00025.png,0.02040936,0.72099350
frame_00027.png,0.01595039,0.71957093
frame_00028.png,0.01620850,0.73019812
frame_00030.png,0.02391628,0.71401920
frame_00031.png,0.02147030,0.66911842
frame_00033.png,0.02434009,0.70952360
frame_00034.png,0.02302845,0.75215763
frame_00036.png,0.02211717,0.75231687
frame_00037.png,0.02111712,0.71077442
frame_00039.png,0.02248734,0.73211220
frame_00040.png,0.02899940,0.73001809
frame_00042.png,0.02830763,0.68239507
frame_00043.png,0.02345199,0.70745990
frame_00045.png,0.02093539,0.70127307
frame_00046.png,0.01561436,0.65862877
frame_00048.png,0.02559004,0.63297722
frame_00050.png,0.01563904,0.68211356
frame_00051.png,0.01303937,0.64395140
frame_00053.png,0.02078586,0.63706368
frame_00054.png,0.02354160,0.65113210
frame_00056.png,0.01880695,0.65990104
frame_00057.png,0.01470013,0.62938200
frame_00059.png,0.01479463,0.68767597
frame_00060.png,0.03573151,0.73578806
frame_00062.png,0.01652260,0.73230521
frame_00063.png,0.01904779,0.70194294
frame_00065.png,0.01664851,0.68527611
frame_00066.png,0.01577780,0.70522427
frame_00068.png,0.02100902,0.73804843
frame_00069.png,0.02139944,0.74251976
frame_00071.png,0.01509304,0.70806772
frame_00073.png,0.00978593,0.66958314
frame_00074.png,0.01034447,0.64118442
frame_00076.png,0.01351304,0.57657064
frame_00077.png,0.01901912,0.53827016
frame_00079.png,0.02305819,0.58600345
frame_00080.png,0.02029457,0.58182147
frame_00082.png,0.00783281,0.54610278
frame_00083.png,0.01911559,0.60358472
frame_00085.png,0.01150439,0.60392264
frame_00086.png,0.02072896,0.57356961
frame_00088.png,0.02319168,0.61675561
frame_00089.png,0.02829680,0.67468108
frame_00091.png,0.03606284,0.67277940
frame_00092.png,0.03705765,0.66581326
frame_00094.png,0.03554564,0.69564310
frame_00096.png,0.03531507,0.68301641
frame_00097.png,0.04044251,0.72011909
frame_00099.png,0.02967334,0.69025179
frame_00100.png,0.03183756,0.71527358
frame_00102.png,0.03068967,0.81676416
frame_00103.png,0.03735633,0.79733870
frame_00105.png,0.02233332,0.72949895
frame_00106.png,0.03516791,0.77058808
frame_00108.png,0.03725047,0.77740636
frame_00109.png,0.03890993,0.76512232
frame_00111.png,0.04206399,0.80396553
frame_00112.png,0.02817903,0.80152274
frame_00114.png,0.02596541,0.79705769
frame_00115.png,0.02944696,0.81971854
frame_00117.png,0.02531097,0.78675757
frame_00119.png,0.02951544,0.85194451
frame_00120.png,0.01935582,0.81612787
frame_00122.png,0.01284932,0.74453784
frame_00123.png,0.00508489,0.76480345
frame_00125.png,0.01139109,0.80483629
frame_00126.png,0.00891223,0.79540708
frame_00128.png,0.01532123,0.72395433
frame_00129.png,0.01780628,0.77937577
frame_00131.png,0.02044639,0.74809703
frame_00132.png,0.01996998,0.76975536
frame_00134.png,0.02426220,0.74055850
frame_00135.png,0.03574932,0.72222743
frame_00137.png,0.02301348,0.76090330
frame_00138.png,0.03187032,0.70613699
frame_00140.png,0.04148419,0.74006105
frame_00142.png,0.05656140,0.80193195
frame_00143.png,0.04642586,0.78699581
frame_00145.png,0.05690740,0.85686426
frame_00146.png,0.07108659,0.88180867
frame_00148.png,0.06851801,0.78924708
frame_00149.png,0.06294026,0.80105706
frame_00151.png,0.06331035,0.85391478
frame_00152.png,0.07423974,0.82818517
frame_00154.png,0.05476902,0.83972633
frame_00155.png,0.06483079,0.81689276
frame_00157.png,0.04822223,0.83683170
frame_00158.png,0.04049907,0.81315760
frame_00160.png,0.03655983,0.79527629
frame_00161.png,0.02737057,0.80798010
frame_00163.png,0.02602467,0.75140949
frame_00164.png,0.03063022,0.71132819
frame_00166.png,0.02055023,0.77172898
frame_00168.png,0.01212797,0.78187965
frame_00169.png,0.01333463,0.73791956
frame_00171.png,0.01025099,0.72505840
frame_00172.png,0.01103807,0.71457705
frame_00174.png,0.02158430,0.71437178
frame_00175.png,0.01468342,0.72994815
frame_00177.png,0.01862694,0.75848487
frame_00178.png,0.02030085,0.71281610
frame_00180.png,0.01014716,0.70771854
frame_00181.png,0.01336731,0.66835645
frame_00183.png,0.00693614,0.66364118
frame_00184.png,0.01660578,0.67350570
frame_00186.png,0.01735777,0.68595485
frame_00187.png,0.01582421,0.66627069
frame_00189.png,0.01275900,0.59797044
frame_00191.png,0.01679899,0.60673166
frame_00192.png,0.01682852,0.56846376
frame_00194.png,0.01576741,0.61600114
frame_00195.png,0.02350912,0.61616980
frame_00197.png,0.03308694,0.61167020
frame_00198.png,0.02905254,0.61317909
frame_00200.png,0.03371215,0.57732514
frame_00201.png,0.02429127,0.58337424
frame_00203.png,0.02750381,0.57994727
frame_00204.png,0.02632862,0.45811509
frame_00206.png,0.03103424,0.53991476
frame_00207.png,0.01779274,0.54113924
frame_00209.png,0.01909571,0.51984952
frame_00210.png,0.01469996,0.51374872
frame_00212.png,0.01823652,0.60167183
frame_00214.png,0.02249685,0.58747266
frame_00215.png,0.01944696,0.57398139
frame_00217.png,0.01853438,0.59143974
frame_00218.png,0.02061631,0.61259905
frame_00220.png,0.01475155,0.53359523
frame_00221.png,0.01181017,0.55747643
frame_00223.png,0.01520582,0.57889942
frame_00224.png,0.01991794,0.57376804
frame_00226.png,0.01861471,0.55610073
frame_00227.png,0.01813917,0.58235220
frame_00229.png,0.02546861,0.58970494
frame_00230.png,0.02729044,0.61795710
frame_00232.png,0.01694046,0.62145197
frame_00233.png,0.02250100,0.58345360
frame_00235.png,0.02038928,0.67315140
frame_00237.png,0.02613293,0.69201376
frame_00238.png,0.02159758,0.71656432
frame_00240.png,0.02445076,0.65697018
frame_00241.png,0.02591255,0.60835121
frame_00243.png,0.01117174,0.67193664
frame_00244.png,0.01220279,0.72390482
frame_00246.png,0.01415532,0.72722199
frame_00247.png,0.00805899,0.67250465
frame_00249.png,0.01000768,0.66042184
frame_00250.png,0.02273285,0.65948783
frame_00252.png,0.01590653,0.76206777
frame_00253.png,0.01224715,0.76677462
frame_00255.png,0.01278330,0.76415386
frame_00256.png,0.01139306,0.74549108
frame_00258.png,0.01250256,0.74794640
frame_00260.png,0.01334101,0.77059671
frame_00261.png,0.02110811,0.75588698
frame_00263.png,0.02038631,0.73679826
frame_00264.png,0.02811633,0.72239835
frame_00266.png,0.00720881,0.77390588
frame_00267.png,0.01612843,0.77988127
frame_00269.png,0.02233685,0.78264926
frame_00270.png,0.02201378,0.84429095
frame_00272.png,0.01945775,0.78618888
frame_00273.png,0.02426963,0.82225613
frame_00275.png,0.01653390,0.75673955
frame_00276.png,0.02433960,0.79671885
frame_00278.png,0.02638401,0.92972122
frame_00279.png,0.02901996,0.85642501
frame_00281.png,0.04089553,0.95767213
frame_00283.png,0.03046824,0.87780927
frame_00284.png,0.02829420,0.84098826
frame_00286.png,0.02983958,0.88302797
frame_00287.png,0.03282191,0.90924796
frame_00289.png,0.03211827,0.81048844
frame_00290.png,0.02483050,0.79803209
frame_00292.png,0.01753930,0.78235075
frame_00293.png,0.02420644,0.80318498
frame_00295.png,0.02391869,0.77646462
frame_00296.png,0.03040920,0.80707654
frame_00298.png,0.02750263,0.80348593
frame_00299.png,0.02696438,0.76777098
frame_00301.png,0.04475182,0.88387085
frame_00302.png,0.03094387,0.83170637
frame_00304.png,0.03205628,0.76310809
frame_00306.png,0.03264965,0.78605022
